title,paper_id,first_issue,last_issue,gaps
14. September,14september,03-06-1947,03-06-1998,
Adresse-Avisen,adresseavisen1759,04-05-1759,24-04-1909,
Aftenbladet (København),aftenbladet1887,01-10-1887,30-05-1961,
Aktuelt,aktuelt,22-07-1871,07-08-1997,
Allgemeines Wochenblatt,allgemeineswochenblatt,02-07-1827,20-02-1839,01-01-1837 - 31-12-1837
Almuevennen (København),almuevennen1842,06-04-1842,31-12-1855,
Alt um Ítrótt,altumitrott,07-01-1985,30-06-1986,
Arbejderen,arbejderen,01-09-1982,31-12-2008,
Arbejdet. Organ for Danmarks kommunistiske Parti,arbejdet,29-11-1919,15-05-1921,
B.T.,bt,31-08-1916,31-12-2007,
Berlingske Tidende,berlingsketidende,03-01-1749,31-12-2007,
Bornholmeren,bornholmssocialdemokrat,01-04-1902,25-10-1994,
Bornholms Avis,bornholmsavis,02-08-1828,31-12-1957,
Bornholms Tidende,bornholmstidende,03-07-1866,29-12-2012,
Børsen,boersen,01-01-1932,31-12-1969,
Corsaren,corsaren1840,08-10-1840,25-03-1853,
Dagbladet Holstebro,holstebrodagblad,17-10-1881,31-08-2008,
Dagbladet København,dagbladetkoebenhavn1851,24-11-1851,30-04-1930,
Dagbladet Køge,dagbladetkoege,03-10-1876,30-06-2009,
Dagbladet Ringsted,dagbladetringsted,02-10-1871,31-12-2000,
Dagbladet Roskilde,dagbladetroskilde,01-10-1878,30-06-2009,
Dagblaðið,dagbladid1935,02-05-1935,27-12-1999,
Dagblaðið (1934),dagbladid1934,28-07-1934,01-09-1934,
Dagen (1803),dagen1803,10-01-1803,16-06-1843,
Dagen (København),dagenkoebenhavn2002,22-10-2002,06-12-2002,
Dagens Nyheder,dagensnyheder1868,27-09-1868,31-12-1909,
Dags-Telegraphen (København),dagstelegraphen,02-01-1864,30-06-1891,
Dannebrog (København),dannebrog,01-09-1892,23-11-1910,
Dannevirke,dannevirke1838,15-06-1838,13-02-1864,
Dannevirke,dannevirke1867,01-11-1867,31-12-1899,01-01-1879 - 31-12-1882
Demokraten (Århus),demokratenaarhus,01-10-1884,17-08-1974,
Den Danske Mercurius,dendanskemercurius1666,01-07-1666,01-06-1691,01-11-1678 - 31-11-1683
Den nye Demokraten (Århus),dennyedemokraten,01-10-1981,07-04-1982,
Der Nordschleswiger,dernordschleswiger,02-02-1946,30-04-2009,
Dimmalætting,dimmalaetting,05-01-1878,30-04-2003,
Djursland,djursland,23-09-1913,31-10-2001,23-09-1913 - 31-12-1975
Esbjerg Avis,esbjergavis,02-01-1890,04-05-1918,
Esbjerg Folkeblad,esbjergfolkeblad1889,02-04-1889,29-09-1900,
"Extraordinaires Maanedlige Relationer som ere fræmkomne i (måned), anno (år) (København)",extraordinairesmaanedligerelationer,05-11-1672,01-05-1698,
Eysturoyggin,eysturoyggin,04-11-1986,18-05-1992,
FF Blað,ffbladid,01-01-1972,21-12-1999,01-01-1975 - 31-12-1975
Fjerritslev Avis,fjerritslevavis,01-04-1899,17-09-1999,01-01-1920 - 31-12-1975
Flyveposten,flyveposten,02-01-1845,31-03-1870,
Folket (Silkeborg),folketsilkeborg,01-07-1935,27-09-1941,
"Folket. Frit, uafhængigt Dagblad (Randers)",folketranders,01-10-1941,15-03-1946,
Folkets Avis - København (1860),folketsavis1860,21-02-1860,30-08-1884,
Folkets Avis - København (1897),folketsavis1897,01-12-1897,30-11-1928,
Folkets Selvstyre,folketsselvstyre,01-10-1926,19-06-1928,
Forposten,forposten1827,01-01-1843,29-12-1844,
Fredericia Dagblad,fredericiadagblad1890,15-03-1881,31-12-2009,
Fredericia Social-Demokrat,fredericiasocialdemokrat,01-10-1898,31-12-1953,01-01-1906 - 31-12-1906
Frederiksborg Amts Avis,frederiksborgamtsavis,01-10-1874,30-06-2009,01-01-1908 - 31-12-1916;01-01-1918 - 31-12-1919
Frederiksborg Amts Tidende (Hillerød),frederiksborgamtstidende,06-07-1839,17-08-1957,01-01-1877 - 31-12-1879;01-01-1901 - 31-12-1929
Frederikshavns Avis,frederikshavnsavis,01-01-1976,31-12-1994,
Frit Folk (Vejle),vejlesocialdemokrat,01-01-1955,31-12-1967,
Fríu Føroyar,friufoeroyar1983,09-09-1983,17-06-1993,
Fyens Stiftstidende,fyensstiftstidende,03-01-1772,30-09-2008,
Fyns Amts Avis,fynsamtsavissvendborg,02-02-1863,30-09-2008,
Fyns Social-Demokrat,fynssocialdemokrat,01-10-1896,31-12-1967,
Fyns Venstreblad,fynsvenstreblad,20-09-1892,31-12-1957,
Fædrelandet,faedrelandetkoebenhavn1939,09-01-1939,04-05-1945,
Fædrelandet (1834-1882),faedrelandet1834,14-09-1834,31-03-1882,
Føringurin,foeringurin,21-11-1996,25-06-1998,
Føroyatiðindi,foeroyatidindi,23-10-1915,30-09-1961,01-01-1939 - 31-12-1942;01-01-1951 - 31-12-1951
Glaðustrok,gladustrok,14-01-1965,27-08-1971,01-01-1966 - 31-12-1966
Hejmdal,hejmdalaabenraa,01-10-1893,25-04-1975,
Hejmdals Søndagsblad,hejmdalsoendagsbladaabenraa,30-07-1916,30-12-1934,01-12-1918 - 29-08-1920
Helsingør Dagblad,helsingoerdagblad,01-01-1976,31-08-2008,
Helsingørs Avis,helsingoersavis,09-11-1798,31-12-1936,01-01-1803 - 01-01-1923
Herning Avis,herningavis1903,24-09-1903,30-09-1936,
Herning Folkeblad,herningfolkeblad,02-07-1869,31-10-2006,
Holbæk Amts Venstreblad,holbaekamtsvenstreblad,14-03-1905,27-02-2010,
Holstebro Avis,holstebroavis,01-01-1880,31-12-1920,
Horsens Avis,horsensavis1828,01-08-1828,30-12-1961,
Horsens Folkeblad,horsensfolkeblad1866,31-03-1866,31-12-2009,
Horsens Social-Demokrat,horsenssocialdemokrat,30-09-1888,31-12-1962,
Information,information,05-05-1945,31-12-2004,
Isefjordsposten,isefjordsposten1861,27-04-1861,30-06-1864,
Isefjordsposten,isefjordsposten1866,01-01-1867,31-12-1952,
"Isefjordsposten. Land-Oplag, Morgen-Udgave",isefjordsposten1866land,25-06-1915,31-03-1917,
Jydske Tidende - Haderslev,jydsketidendehaderslev,01-09-1929,13-01-1991,01-01-1936 - 31-12-1937;14-12-1944 - 31-12-1975
"Jydske Tidende - Haderslev, Aabenraa, Sønderborg (19441947)",jydsketidendemix,14-12-1944,29-06-1947,
Jydske Tidende - Aabenraa,jydsketidendeaabenraa,01-07-1947,31-12-1975,
JydskeVestkysten - Esbjerg,jydskevestkystenesbjerg,13-01-1991,31-12-2007,
Jyllands-Posten,jyllandsposten1861,05-04-1861,30-12-1863,
Jyllands-Posten,morgenavisenjyllandsposten,16-09-1871,30-06-2004,
Jyllandsposten,jyllandsposten1838,01-01-1838,05-10-1841,
Kallundborg Avis,kalundborgavis1857,13-10-1857,30-04-1953,
Kiøbenhavnsposten,kioebenhavnsposten1827,02-01-1827,31-03-1859,
Kjøbenhavns Amts Avis,kjoebenhavnsamtsavis,02-01-1872,31-03-1944,
Kjøbenhavns Børs-Tidende,kjoebenhavnsboerstidende,01-01-1889,30-09-1892,
Klassekampen,klassekampen,01-05-1918,28-09-1923,
Klokken 5 (København),klokken5koebenhavn1918,16-10-1918,30-09-1930,
Kolding Folkeblad,koldingfolkeblad,02-01-1872,12-07-1995,
Kolding Social-Demokrat,koldingsocialdemokrat,03-10-1897,31-12-1928,
Korsør Avis,korsoeravis,01-09-1855,30-09-1957,
København,koebenhavn1889,02-07-1889,31-03-1931,
København,koebenhavn1946,01-10-1946,31-12-1949,
Land og Folk,landogfolk1945,01-11-1918,28-12-1990,01-07-1941 - 15-04-1945
Landbrugernes Dagblad (Maribo),landbrugernesdagblad,01-07-1932,30-06-1960,
Langelands Folkeblad (Rudkøbing),langelandsfolkeblad,01-01-1965,15-11-1978,
Langelands Social-Demokrat (Rudkøbing),langelandssocialdemokrat,30-11-1908,31-12-1943,
Lemvig Avis,lemvigavis,13-01-1863,31-12-1929,01-01-1889 - 31-12-1921
Lemvig Folkeblad,lemvigfolkeblad,01-01-1880,31-12-2007,01-01-1917 - 31-12-1921;01-01-1930 - 28-02-1976;01-01-1977 - 31-12-1979
Licitationen,licitationen,01-01-1976,31-12-2010,
Lightbourn's Mail-Notes,lightbournsmailnotesdvi,05-01-1887,31-03-1917,01-01-1897 - 31-12-1902
