name,csvLink
Newspapers from 1877,https://loar.kb.dk/rest/bitstreams/1aafb8f1-184c-4d94-aa10-73e8f6d88851/retrieve
Newspapers from 1876,https://loar.kb.dk/rest/bitstreams/63ba0116-6d1f-4df2-b93c-21e95dd34818/retrieve
Newspapers from 1875,https://loar.kb.dk/rest/bitstreams/aeb33f56-38eb-4264-bd07-b301ad5352ad/retrieve
Newspapers from 1874,https://loar.kb.dk/rest/bitstreams/3282ae9c-298d-438a-a283-78c62272c18c/retrieve
Newspapers from 1873,https://loar.kb.dk/rest/bitstreams/086320c0-44aa-4030-8b94-1fbe0f27f193/retrieve
Newspapers from 1872,https://loar.kb.dk/rest/bitstreams/e0e27565-408f-467b-b8bf-23b31afb6f38/retrieve
Newspapers from 1871,https://loar.kb.dk/rest/bitstreams/f6ff9fe7-d3a5-4f58-9722-5544b38f3afd/retrieve
Newspapers from 1870,https://loar.kb.dk/rest/bitstreams/a9a4a35e-b5af-4e20-bca8-9b1a7e035c65/retrieve
Newspapers from 1869,https://loar.kb.dk/rest/bitstreams/ed84d8c5-f03d-4cc6-b19f-b0f8c0cedeb3/retrieve
Newspapers from 1868,https://loar.kb.dk/rest/bitstreams/8ceca4de-f017-4edb-8c92-dd384f62b184/retrieve
Newspapers from 1867,https://loar.kb.dk/rest/bitstreams/b590e45e-db34-4500-a822-9f01a8449489/retrieve
Newspapers from 1866,https://loar.kb.dk/rest/bitstreams/70d9b6cf-e1cf-4b28-b0e0-f3a5c1f858e0/retrieve
Newspapers from 1865,https://loar.kb.dk/rest/bitstreams/497cd229-0d50-4838-a3e9-30e3a8d064c4/retrieve
Newspapers from 1864,https://loar.kb.dk/rest/bitstreams/5cf5058a-51aa-405b-a26a-8a38e242f2aa/retrieve
Newspapers from 1863,https://loar.kb.dk/rest/bitstreams/4cc9d508-d2e9-47c3-a685-1cfa354e981b/retrieve
Newspapers from 1862,https://loar.kb.dk/rest/bitstreams/7f031de0-04aa-43f1-8191-621fecb7b23d/retrieve
Newspapers from 1861,https://loar.kb.dk/rest/bitstreams/958111bf-ba56-4981-b9a1-d47a09dac735/retrieve
Newspapers from 1860,https://loar.kb.dk/rest/bitstreams/be23c091-db69-4ef7-bc2f-c84e1f7cb680/retrieve
Newspapers from 1859,https://loar.kb.dk/rest/bitstreams/a968fc5d-d1fd-463d-bdfd-6b191db2e5ee/retrieve
Newspapers from 1858,https://loar.kb.dk/rest/bitstreams/5c58a354-fc81-4edd-87f0-99cd4aa958d5/retrieve
Newspapers from 1857,https://loar.kb.dk/rest/bitstreams/8b4bfe98-c5dd-45f1-805e-9cff4f228f2a/retrieve
Newspapers from 1856,https://loar.kb.dk/rest/bitstreams/49614abc-04c1-443e-ac15-cdf46ed714e1/retrieve
Newspapers from 1855,https://loar.kb.dk/rest/bitstreams/76b8aba6-7d13-456e-867e-66b9489b0ff7/retrieve
Newspapers from 1854,https://loar.kb.dk/rest/bitstreams/ff80d87f-bbce-4dc9-acc9-8ca9093aac0a/retrieve
Newspapers from 1853,https://loar.kb.dk/rest/bitstreams/f6543ed8-d4ba-40fe-99a8-ba26a5390924/retrieve
